"type","id","name","district","county","sub-county"
"S","04","Kibibi","Butambala","Butambala County","Kibibi"
"S","05","Ngando","Butambala","Butambala County","Ngando"
"S","06","Gombe Town Council","Butambala","Butambala County","Gombe Town Council"
"D","100","Kalungu","Kalungu","",""
"C","117","Kalungu County East","Kalungu","Kalungu County East",""
"S","01","Bukulula","Kalungu","Kalungu County East","Bukulula"
"S","02","Lwabenge","Kalungu","Kalungu County East","Lwabenge"
"S","03","Lukaya Town Council","Kalungu","Kalungu County East","Lukaya Town Council"
"C","118","Kalungu County West","Kalungu","Kalungu County West",""
"S","01","Kalungu","Kalungu","Kalungu County West","Kalungu"
"S","02","Kyamulibwa","Kalungu","Kalungu County West","Kyamulibwa"
"S","03","Bulambuli Town Council","Kalungu","Kalungu County West","Bulambuli Town Council"
"D","101","Sheema","Sheema","",""
"C","021","Sheema County North","Sheema","Sheema County North",""
"S","01","Kagango","Sheema","Sheema County North","Kagango"
"S","02","Kigarama","Sheema","Sheema County North","Kigarama"
"S","03","Kyangyenyi","Sheema","Sheema County North","Kyangyenyi"
"S","04","Kabwohe/Itendero Town Council","Sheema","Sheema County North","Kabwohe/Itendero Town Council"
"S","05","Masheruka","Sheema","Sheema County North","Masheruka"
"S","06","Kibingo Town Council","Sheema","Sheema County North","Kibingo Town Council"
"C","022","Sheema County South","Sheema","Sheema County South",""
"S","01","Bugongi","Sheema","Sheema County South","Bugongi"
"S","02","Kitagata","Sheema","Sheema County South","Kitagata"
"S","03","Shuuku","Sheema","Sheema County South","Shuuku"
"S","04","Kasaana","Sheema","Sheema County South","Kasaana"
"S","05","Bugongi Town Council","Sheema","Sheema County South","Bugongi Town Council"
"D","102","Kibuku","Kibuku","",""
"C","189","Kibuku County","Kibuku","Kibuku County",""
"S","01","Bulangira","Kibuku","Kibuku County","Bulangira"
"S","02","Buseta","Kibuku","Kibuku County","Buseta"
"S","03","Kadama","Kibuku","Kibuku County","Kadama"
"S","04","Kibuku","Kibuku","Kibuku County","Kibuku"
"S","05","Kagumu","Kibuku","Kibuku County","Kagumu"
"S","06","Kirika","Kibuku","Kibuku County","Kirika"
"S","07","Tirinyi","Kibuku","Kibuku County","Tirinyi"
"S","08","Kabweri","Kibuku","Kibuku County","Kabweri"
"S","09","Kasasira","Kibuku","Kibuku County","Kasasira"
"S","10","Kibuku Town Council","Kibuku","Kibuku County","Kibuku Town Council"
"D","103","Kole","Kole","",""
"C","001","Kole County","Kole","Kole County",""
"S","01","Aboke","Kole","Kole County","Aboke"
"S","02","Akalo","Kole","Kole County","Akalo"
"S","03","Alito","Kole","Kole County","Alito"
"S","04","Ayer","Kole","Kole County","Ayer"
"S","05","Balla","Kole","Kole County","Balla"
"S","06","Kole Town Council","Kole","Kole County","Kole Town Council"
"D","104","Kween","Kween","",""
"C","075","Kween County","Kween","Kween County",""
"S","01","Benet","Kween","Kween County","Benet"
"S","02","Binyiny","Kween","Kween County","Binyiny"
"S","03","Kaproron","Kween","Kween County","Kaproron"
"S","04","Ngenge","Kween","Kween County","Ngenge"
"S","05","Kwanyiy","Kween","Kween County","Kwanyiy"
"S","06","Kwosir","Kween","Kween County","Kwosir"
"S","07","Greek River","Kween","Kween County","Greek River"
"S","08","Kaptum","Kween","Kween County","Kaptum"
"S","09","Kitawoi","Kween","Kween County","Kitawoi"
"S","10","Moyok","Kween","Kween County","Moyok"
"S","11","Binyinyi Town Council","Kween","Kween County","Binyinyi Town Council"
"D","105","Lwengo","Lwengo","",""
"C","112","Bukoto County Mid-West","Lwengo","Bukoto County Mid-West",""
"S","01","Lwengo","Lwengo","Bukoto County Mid-West","Lwengo"
"S","02","Ndagwe","Lwengo","Bukoto County Mid-West","Ndagwe"
"S","03","Lwengo Town Council","Lwengo","Bukoto County Mid-West","Lwengo Town Council"
"C","113","Bukoto County West","Lwengo","Bukoto County West",""
"S","01","Kyazanga","Lwengo","Bukoto County West","Kyazanga"
"S","02","Malongo","Lwengo","Bukoto County West","Malongo"
"S","03","Kyazanga Town Council","Lwengo","Bukoto County West","Kyazanga Town Council"
"C","115","Bukoto County South","Lwengo","Bukoto County South",""
"S","01","Kingo","Lwengo","Bukoto County South","Kingo"
"S","02","Kisekka","Lwengo","Bukoto County South","Kisekka"
"D","106","Mitooma","Mitooma","",""
"C","020","Ruhinda County","Mitooma","Ruhinda County",""
"S","01","Bitereko","Mitooma","Ruhinda County","Bitereko"
"S","02","Kabira","Mitooma","Ruhinda County","Kabira"
"S","03","Kanyabwanga","Mitooma","Ruhinda County","Kanyabwanga"
"S","04","Kashenshero","Mitooma","Ruhinda County","Kashenshero"
"S","05","Kiyanga","Mitooma","Ruhinda County","Kiyanga"
"S","06","Mitooma","Mitooma","Ruhinda County","Mitooma"
"S","07","Mutara","Mitooma","Ruhinda County","Mutara"
"S","08","Katenga","Mitooma","Ruhinda County","Katenga"
"S","09","Mayanga","Mitooma","Ruhinda County","Mayanga"
"S","10","Rurehe","Mitooma","Ruhinda County","Rurehe"
"S","11","Kashenshero Town Council","Mitooma","Ruhinda County","Kashenshero Town Council"
"S","12","Mitooma Town Council","Mitooma","Ruhinda County","Mitooma Town Council"
"D","107","Napak","Napak","",""
"C","145","Bokora County","Napak","Bokora County",""
"S","01","Iriiri","Napak","Bokora County","Iriiri"
"S","02","Lokopo","Napak","Bokora County","Lokopo"
"S","03","Lopei","Napak","Bokora County","Lopei"
"S","04","Lotome","Napak","Bokora County","Lotome"
"S","05","Matany","Napak","Bokora County","Matany"
"S","06","Ngoleriet","Napak","Bokora County","Ngoleriet"
"S","07","Lorengecora","Napak","Bokora County","Lorengecora"
"S","08","Napak Town Council","Napak","Bokora County","Napak Town Council"
"D","108","Ngora","Ngora","",""
"C","098","Ngora County","Ngora","Ngora County",""
"S","01","Kapir","Ngora","Ngora County","Kapir"
"S","02","Kobwin","Ngora","Ngora County","Kobwin"
"S","03","Mukura","Ngora","Ngora County","Mukura"
"S","04","Ngora","Ngora","Ngora County","Ngora"
"S","05","Ngora Town Council","Ngora","Ngora County","Ngora Town Council"
"D","109","Buhweju","Buhweju","",""
"C","016","Buhweju County","Buhweju","Buhweju County",""
"S","01","Bihanga","Buhweju","Buhweju County","Bihanga"
"S","02","Burere","Buhweju","Buhweju County","Burere"
"S","03","Karungu","Buhweju","Buhweju County","Karungu"
"S","04","Rwengwe","Buhweju","Buhweju County","Rwengwe"
"S","05","Bitsya","Buhweju","Buhweju County","Bitsya"
"S","06","Engaju","Buhweju","Buhweju County","Engaju"
"S","07","Nyakishana","Buhweju","Buhweju County","Nyakishana"
"S","08","Nsiika Town Council","Buhweju","Buhweju County","Nsiika Town Council"
"D","110","Nwoya","Nwoya","",""
"C","025","Nwoya County","Nwoya","Nwoya County",""
"S","01","Alero","Nwoya","Nwoya County","Alero"
"S","02","Anaka (Payira","Nwoya","Nwoya County","Anaka (Payira"
"S","03","Koch-Goma","Nwoya","Nwoya County","Koch-Goma"
"S","04","Purongo","Nwoya","Nwoya County","Purongo"
"S","05","Anaka Town Council","Nwoya","Nwoya County","Anaka Town Council"
"D","111","Agago","Agago","",""
"C","089","Agago County","Agago","Agago County",""
"S","01","Adilang","Agago","Agago County","Adilang"
"S","02","Lapono","Agago","Agago County","Lapono"
"S","03","Lira-Palwo","Agago","Agago County","Lira-Palwo"
"S","04","Lokole","Agago","Agago County","Lokole"
"S","05","Omot","Agago","Agago County","Omot"
"S","06","Paimol","Agago","Agago County","Paimol"
"S","07","Parabongo","Agago","Agago County","Parabongo"
"S","08","Patongo","Agago","Agago County","Patongo"
"S","09","Wol","Agago","Agago County","Wol"
"S","10","Kalongo Town Council","Agago","Agago County","Kalongo Town Council"
"S","11","Arum","Agago","Agago County","Arum"
"S","12","Kotomor","Agago","Agago County","Kotomor"
"S","13","Lamiyo","Agago","Agago County","Lamiyo"
"S","14","Omiya Pacwa","Agago","Agago County","Omiya Pacwa"
"S","15","Patongo Town Council","Agago","Agago County","Patongo Town Council"
"S","16","Agago Town Council","Agago","Agago County","Agago Town Council"
"D","112","Rubirizi","Rubirizi","",""
"C","017","Bunyaruguru County","Rubirizi","Bunyaruguru County",""
"C","222","Katerera County","Rubirizi","Katerera County",""
"S","01","Rubirizi Town Council","Rubirizi","Katerera County","Rubirizi Town Council"
"S","02","Katunguru","Rubirizi","Katerera County","Katunguru"
"S","03","Kichwamba","Rubirizi","Katerera County","Kichwamba"
"S","04","Ryeru","Rubirizi","Katerera County","Ryeru"
"S","05","Magambo","Rubirizi","Katerera County","Magambo"
"S","08","Rutoto","Rubirizi","Katerera County","Rutoto"
"S","01","Katerera","Rubirizi","Katerera County","Katerera"
"S","06","Katanda","Rubirizi","Katerera County","Katanda"
"S","07","Kyabakara","Rubirizi","Katerera County","Kyabakara"
"S","09","Katerera Town","Rubirizi","Katerera County","Katerera Town"
"S","10","Kirugu","Rubirizi","Katerera County","Kirugu"
